Date,Temp,MinTemp,MaxTemp,Precipitation,WindDir,WindSpeed,Pressure,Humidity,RainTomorrow
1/1/2023 0:00,10.0,4.3,16.3,0.0,135.0,6.2,1022.4,78.0,No
1/2/2023 0:00,10.1,6.0,17.5,0.0,149.0,5.4,1023.1,78.0,No
1/3/2023 0:00,10.1,4.2,17.0,0.0,69.0,4.8,1023.0,75.29166667,No
1/4/2023 0:00,9.2,5.0,17.5,0.0,184.0,6.3,1022.7,72.75,No
1/5/2023 0:00,9.5,3.6,18.0,0.6,125.0,6.0,1024.6,67.70833333,Yes
1/6/2023 0:00,10.0,3.0,19.0,0.0,110.0,6.3,1025.1,64.33333333,No
1/7/2023 0:00,10.7,3.0,21.0,0.0,84.0,6.5,1023.3,56.875,No
1/8/2023 0:00,10.7,3.0,20.0,0.5,101.0,5.5,1022.3,55.20833333,Yes
1/9/2023 0:00,11.0,3.6,20.0,0.0,78.0,5.1,1022.9,57.16666667,No
1/10/2023 0:00,11.3,4.6,20.0,0.0,62.0,6.3,1020.4,62.66666667,No
1/11/2023 0:00,10.8,4.8,19.0,0.0,139.0,6.8,1017.9,63.41666667,Yes
1/12/2023 0:00,10.8,3.8,19.5,1.0,148.0,7.1,1016.2,66.91666667,No
1/13/2023 0:00,10.8,4.4,18.0,0.0,43.0,7.3,1017.0,69.54166667,No
1/14/2023 0:00,10.9,3.8,19.2,0.0,4.0,8.5,1016.4,63.04166667,No
1/15/2023 0:00,9.8,3.0,18.5,0.9,174.0,6.8,1014.6,73.16666667,Yes
1/16/2023 0:00,9.4,4.0,16.2,0.0,139.0,6.4,1016.6,76.79166667,No
1/17/2023 0:00,9.5,6.5,23.3,0.5,283.0,5.6,1017.1,72.58333333,Yes
1/18/2023 0:00,9.2,4.4,22.0,0.0,171.0,6.5,1019.3,71.41666667,No
1/19/2023 0:00,8.6,3.3,15.2,0.0,346.0,5.3,1020.7,74.75,No
1/20/2023 0:00,9.9,3.5,18.1,0.0,63.0,5.8,1019.8,74.0,No
1/21/2023 0:00,10.9,3.6,20.2,0.0,167.0,9.1,1019.2,59.25,No
1/22/2023 0:00,11.2,3.0,19.5,0.0,73.0,8.1,1019.3,50.58333333,No
1/23/2023 0:00,12.0,4.0,22.0,0.0,151.0,7.9,1018.5,53.95833333,No
1/24/2023 0:00,12.7,4.2,21.5,0.6,56.0,9.3,1019.6,62.33333333,Yes
1/25/2023 0:00,13.7,6.0,22.2,0.5,19.0,7.0,1019.3,64.08333333,Yes
1/26/2023 0:00,13.6,8.2,21.5,0.0,36.0,8.5,1019.0,65.70833333,No
1/27/2023 0:00,13.3,5.8,25.4,0.0,78.0,8.0,1018.6,58.20833333,No
1/28/2023 0:00,12.8,4.5,21.6,0.0,119.0,7.1,1017.2,57.95833333,No
1/29/2023 0:00,12.9,5.8,21.0,0.0,110.0,6.5,1019.6,63.95833333,No
1/30/2023 0:00,13.7,8.3,20.0,0.0,81.0,4.8,1022.2,69.41666667,No
1/31/2023 0:00,15.2,8.0,24.0,1.0,208.0,7.2,1018.7,59.16666667,Yes
2/1/2023 0:00,13.8,6.3,22.5,0.0,56.0,7.4,1017.3,57.75,No
2/2/2023 0:00,13.6,6.5,22.2,0.0,149.0,6.4,1018.3,62.70833333,No
2/3/2023 0:00,13.2,6.8,22.0,0.0,157.0,7.2,1018.5,65.20833333,No
2/4/2023 0:00,13.4,7.0,21.0,0.0,140.0,7.0,1015.7,67.08333333,No
2/5/2023 0:00,13.1,7.0,20.5,0.0,131.0,7.9,1015.6,67.16666667,No
2/6/2023 0:00,13.1,7.0,21.3,0.0,188.0,7.3,1015.1,71.0,No
2/7/2023 0:00,12.8,6.9,20.6,0.0,144.0,7.4,1013.8,62.41666667,No
2/8/2023 0:00,12.6,6.0,20.8,0.0,171.0,7.2,1015.6,69.08333333,No
2/9/2023 0:00,12.7,7.3,20.2,0.0,191.0,6.5,1016.6,73.16666667,No
2/10/2023 0:00,13.5,7.0,21.4,0.0,114.0,8.5,1016.8,70.33333333,No
2/11/2023 0:00,14.1,6.8,22.5,0.0,104.0,8.7,1016.5,60.70833333,No
2/12/2023 0:00,13.2,6.7,21.4,0.0,313.0,8.4,1015.4,56.125,No
2/13/2023 0:00,12.1,5.8,20.2,0.0,160.0,8.5,1014.8,64.75,No
2/14/2023 0:00,13.1,6.0,20.8,0.0,191.0,7.2,1017.6,60.29166667,No
2/15/2023 0:00,15.3,9.5,22.5,0.0,221.0,8.1,1017.1,54.75,No
